#t           SANO     QUEMANDOSE        QUEMADO
1086         321577            698         677725
1087         320902            675         678423
1088         320218            684         679098
1089         319537            681         679782
1090         318869            668         680463
1091         318236            633         681131
1092         317575            661         681764
1093         316911            664         682425
1094         316269            642         683089
1095         315601            668         683731
1096         314934            667         684399
1097         314264            670         685066
1098         313610            654         685736
1099         312974            636         686390
1100         312336            638         687026
1101         311718            618         687664
1102         311075            643         688282
1103         310410            665         688925
1104         309790            620         689590
1105         309209            581         690210
1106         308595            614         690791
1107         308011            584         691405
1108         307451            560         691989
1109         306866            585         692549
1110         306285            581         693134
1111         305718            567         693715
1112         305162            556         694282
1113         304634            528         694838
1114         304065            569         695366
1115         303470            595         695935
1116         302876            594         696530
1117         302258            618         697124
1118         301616            642         697742
1119         301005            611         698384
1120         300428            577         698995
1121         299855            573         699572
1122         299271            584         700145
1123         298674            597         700729
1124         298024            650         701326
1125         297355            669         701976
1126         296706            649         702645
1127         296018            688         703294
1128         295344            674         703982
1129         294661            683         704656
1130         293997            664         705339
1131         293349            648         706003
1132         292703            646         706651
1133         292052            651         707297
1134         291393            659         707948
1135         290735            658         708607
1136         290068            667         709265
1137         289416            652         709932
1138         288839            577         710584
1139         288283            556         711161
1140         287742            541         711717
1141         287179            563         712258
1142         286632            547         712821
1143         286092            540         713368
1144         285547            545         713908
1145         284997            550         714453
1146         284445            552         715003
1147         283895            550         715555
1148         283341            554         716105
1149         282783            558         716659
1150         282223            560         717217
1151         281664            559         717777
1152         281114            550         718336
1153         280564            550         718886
1154         280025            539         719436
1155         279520            505         719975
1156         279001            519         720480
1157         278482            519         720999
1158         277959            523         721518
1159         277458            501         722041
1160         276956            502         722542
1161         276438            518         723044
1162         275924            514         723562
1163         275383            541         724076
1164         274867            516         724617
1165         274365            502         725133
1166         273845            520         725635
1167         273330            515         726155
1168         272799            531         726670
1169         272310            489         727201
1170         271861            449         727690
1171         271410            451         728139
1172         270955            455         728590
1173         270481            474         729045
1174         270008            473         729519
1175         269538            470         729992
1176         269071            467         730462
1177         268612            459         730929
1178         268140            472         731388
1179         267677            463         731860
1180         267220            457         732323
1181         266761            459         732780
1182         266274            487         733239
1183         265768            506         733726
1184         265300            468         734232
1185         264842            458         734700
1186         264376            466         735158
1187         263925            451         735624
1188         263474            451         736075
1189         263034            440         736526
1190         262615            419         736966
1191         262181            434         737385
1192         261724            457         737819
1193         261254            470         738276
1194         260778            476         738746
1195         260301            477         739222
1196         259831            470         739699
1197         259380            451         740169
1198         258947            433         740620
1199         258501            446         741053
1200         258051            450         741499
1201         257609            442         741949
1202         257143            466         742391
1203         256690            453         742857
1204         256248            442         743310
1205         255788            460         743752
1206         255345            443         744212
1207         254927            418         744655
1208         254515            412         745073
1209         254105            410         745485
1210         253708            397         745895
1211         253322            386         746292
1212         252943            379         746678
1213         252565            378         747057
1214         252199            366         747435
1215         251830            369         747801
1216         251454            376         748170
1217         251108            346         748546
1218         250774            334         748892
1219         250460            314         749226
1220         250132            328         749540
1221         249805            327         749868
1222         249503            302         750195
1223         249181            322         750497
1224         248824            357         750819
1225         248448            376         751176
1226         248094            354         751552
1227         247744            350         751906
1228         247388            356         752256
1229         247050            338         752612
1230         246715            335         752950
1231         246385            330         753285
1232         246054            331         753615
1233         245712            342         753946
1234         245377            335         754288
1235         245060            317         754623
1236         244744            316         754940
1237         244411            333         755256
1238         244066            345         755589
1239         243722            344         755934
1240         243382            340         756278
1241         243036            346         756618
1242         242692            344         756964
1243         242350            342         757308
1244         241999            351         757650
1245         241646            353         758001
1246         241313            333         758354
1247         240997            316         758687
1248         240675            322         759003
1249         240360            315         759325
1250         240062            298         759640
1251         239773            289         759938
1252         239478            295         760227
1253         239182            296         760522
1254         238883            299         760818
1255         238599            284         761117
1256         238300            299         761401
1257         238007            293         761700
1258         237721            286         761993
1259         237423            298         762279
1260         237126            297         762577
1261         236824            302         762874
1262         236531            293         763176
1263         236250            281         763469
1264         235989            261         763750
1265         235732            257         764011
1266         235480            252         764268
1267         235227            253         764520
1268         234966            261         764773
1269         234684            282         765034
1270         234410            274         765316
1271         234141            269         765590
1272         233857            284         765859
1273         233564            293         766143
1274         233279            285         766436
1275         232978            301         766721
1276         232675            303         767022
1277         232395            280         767325
1278         232143            252         767605
1279         231904            239         767857
1280         231681            223         768096
1281         231474            207         768319
1282         231274            200         768526
1283         231080            194         768726
1284         230853            227         768920
1285         230616            237         769147
1286         230387            229         769384
1287         230149            238         769613
1288         229909            240         769851
1289         229654            255         770091
1290         229405            249         770346
1291         229148            257         770595
1292         228892            256         770852
1293         228653            239         771108
1294         228415            238         771347
1295         228183            232         771585
1296         227938            245         771817
1297         227704            234         772062
1298         227494            210         772296
1299         227283            211         772506
1300         227078            205         772717
1301         226887            191         772922
1302         226703            184         773113
1303         226524            179         773297
1304         226332            192         773476
1305         226124            208         773668
1306         225922            202         773876
1307         225719            203         774078
1308         225513            206         774281
1309         225295            218         774487
1310         225093            202         774705
1311         224886            207         774907
1312         224682            204         775114
1313         224469            213         775318
1314         224264            205         775531
1315         224079            185         775736
1316         223908            171         775921
1317         223734            174         776092
1318         223566            168         776266
1319         223401            165         776434
1320         223221            180         776599
1321         223033            188         776779
1322         222840            193         776967
1323         222640            200         777160
1324         222441            199         777360
1325         222256            185         777559
1326         222077            179         777744
1327         221896            181         777923
1328         221718            178         778104
1329         221545            173         778282
1330         221372            173         778455
1331         221209            163         778628
1332         221044            165         778791
1333         220895            149         778956
1334         220749            146         779105
1335         220592            157         779251
1336         220443            149         779408
